County;Municipality;Site_ID;Site_name;Site_type;Collected;Lab_ID;BP;SD;From;To;%;?C13;Context;Material;Material_type;Reference
Vestland;Laerdal;10465;Sulemarki_VII;Stone_Age;1967;T-900;7630;450;-7588;-5674;95.4;N/A;Layer_(0,1_m_depth);Charcoal;Unknown;Nydal_et_al._1972
Vestland;Laerdal;10466;Sundet_II;Stone_Age;1967;T-893;7650;150;-7027;-6221;95.5;N/A;House_wall_(0,5-0,6_m_depth);Charcoal;Unknown;Nydal_et_al._1972
Vestland;Laerdal;10467;Ulvehaugen_I;Stone_Age;1966;T-898;7460;80;-6465;-6106;95.4;N/A;Layer_(0,3_m_depth);Charcoal;Unknown;Nydal_et_al._1972
Vestland;Laerdal;10467;Ulvehaugen_I;Stone_Age;1966;T-766;7120;140;-6335;-5720;95.4;N/A;Layer_(0,2-0,4_m_depth);Charcoal;Unknown;Nydal_et_al._1972
Vestland;Laerdal;10468;Ulvehaugen_III;Stone_Age;1966;T-892;6070;520;-6058;-3820;95.4;N/A;Layer_(0,1-0,15_m_depth);Charcoal;Unknown;Nydal_et_al._1972
Vestland;Meland;10183;Flatoey_II;Stone_Age;;T-2738;6190;130;-5466;-4809;95.4;N/A;unknown;Charcoal;corylus;Naeroey_1988
Vestland;Meland;10183;Flatoey_II;Stone_Age;;T-2586;6180;110;-5369;-4840;95.4;N/A;unknown;Charcoal;corylus;Naeroey_1988
Vestland;Meland;10184;Flatoey_VII;Stone_Age;;T-2385;5240;150;-4353;-3712;95.4;N/A;unknown;Charcoal;corylus;Naeroey_1988
Vestland;Meland;10185;Flatoey_XI;Stone_Age;;T-2589;6210;110;-5465;-4851;95.4;N/A;unknown;Charcoal;corylus_nutshell;Naeroey_1988
Vestland;Meland;10186;Flatoey_XII;Stone_Age;;T-2587;6030;100;-5214;-4716;95.4;N/A;unknown;unknown;Unknown;Naeroey_1988,_1994
Vestland;Meland;10186;Flatoey_XII;Stone_Age;;T-2947;5720;90;-4770;-4363;95.4;N/A;unknown;unknown;Unknown;"Naeroey_1988;_1994"
Vestland;Radoey;10189;Kotedalen_Fase_10;Stone_Age;1985-1987;T-6236;5570;70;-4549;-4266;95.4;N/A;Lag;Charcoal;pinus/quercus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_10;Stone_Age;1985-1987;T-7518;5550;80;-4551;-4239;95.4;N/A;Lag;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_10;Stone_Age;1985-1987;T-7517;5440;120;-4502;-3988;95.4;N/A;Lag;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_11;Stone_Age;1985-1987;T-7525;5270;60;-4252;-3969;95.4;N/A;Lag_NF_eldste;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_11;Stone_Age;1985-1987;T-7763;5150;100;-4232;-3712;95.4;N/A;Lag_NF_yngste;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_12;Stone_Age;1985-1987;T-7519;5160;120;-4312;-3703;95.4;N/A;Lag;Charcoal;alnus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_12;Stone_Age;1985-1987;T-6235;5100;60;-4039;-3715;95.4;N/A;Lag_NE2_eldste;Charcoal;corylus_nutshell;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_12;Stone_Age;1985-1987;T-6238;5050;70;-3977;-3695;95.4;N/A;Lag;Charcoal;corylus_nutshell;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_12;Stone_Age;1985-1987;T-7524;5030;80;-3968;-3661;95.4;N/A;Lag;Charcoal;salix;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_12;Stone_Age;1985-1987;T-7510;5010;50;-3951;-3696;95.4;N/A;Lag;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_12;Stone_Age;1985-1987;T-7523;5010;80;-3960;-3656;95.4;N/A;Lag;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_12;Stone_Age;1985-1987;T-7336;4900;100;-3952;-3384;95.5;N/A;Lag_NE2_yngste;Charcoal;quercus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_13;Stone_Age;1985-1987;T-7509;4960;80;-3951;-3638;95.4;N/A;Lag;Charcoal;corylus_nutshell;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_13;Stone_Age;1985-1987;T-7337;4920;50;-3895;-3636;95.4;N/A;Lag;Charcoal;unknown;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_13;Stone_Age;1985-1987;T-7052;4860;60;-3781;-3520;95.4;N/A;Lag;Charcoal;quercus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_14;Stone_Age;1985-1987;T-7522;4880;80;-3937;-3383;95.4;N/A;Lag;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_14;Stone_Age;1985-1987;T-7390;4760;100;-3771;-3347;95.4;N/A;Lag;Charcoal;betula;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_14;Stone_Age;1985-1987;T-3264;4690;90;-3656;-3117;95.5;N/A;Lag;Charcoal;pinus,_quercus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_14;Stone_Age;1985-1987;T-7508;4690;70;-3637;-3356;95.4;N/A;Lag;Charcoal;quercus?;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_14;Stone_Age;1985-1987;T-7531;4670;90;-3646;-3109;95.5;N/A;Lag;Charcoal;quercus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_14;Stone_Age;1985-1987;T-7338;4660;120;-3662;-3028;95.4;N/A;Lag;Charcoal;softwood;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_14;Stone_Age;1985-1987;T-7521;4650;90;-3639;-3105;95.4;N/A;Lag;Charcoal;corylus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_14;Stone_Age;1985-1987;T-7149;4640;60;-3633;-3123;95.5;N/A;Lag;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_14;Stone_Age;1985-1987;T-7151;4610;80;-3631;-3095;95.4;N/A;Lag;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_14;Stone_Age;1985-1987;T-7391;4560;110;-3628;-2929;95.4;N/A;Lag;Charcoal;alnus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_15;Stone_Age;1985-1987;Beta-4000;4580;80;-3626;-3027;95.4;N/A;Lag;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_15;Stone_Age;1985-1987;Beta-3994;4490;70;-3366;-2931;95.4;N/A;Lag;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_15;Stone_Age;1985-1987;Beta-3999;4450;50;-3340;-2930;95.4;N/A;Lag;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_15;Stone_Age;1985-1987;Beta-3998;4430;50;-3335;-2919;95.4;N/A;Baalflak;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_15;Stone_Age;1985-1987;Beta-3995;4410;90;-3347;-2899;95.4;N/A;Ildsted;Charcoal;picea;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_15;Stone_Age;1985-1987;Beta-3997;4410;50;-3331;-2909;95.4;N/A;Lag;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_15;Stone_Age;1985-1987;Beta-3996;4340;90;-3341;-2701;95.4;N/A;Lag;Charcoal;corylus_nutshell;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_15_;Stone_Age;1985-1987;Beta-3992;4340;50;-3093;-2886;95.4;N/A;Lag;Charcoal;corylus_nutshell;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_15_;Stone_Age;1985-1987;Beta-3993;4280;60;-3089;-2676;95.4;N/A;Lag;Charcoal;corylus_nutshell;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_16;Stone_Age;1985-1987;Beta-4001;4230;80;-3019;-2580;95.4;N/A;Ildsted;Charcoal;roots?;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_3;Stone_Age;1985-1987;T-7332;7450;100;-6467;-6088;95.4;N/A;Lag;Charcoal;salix;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_3;Stone_Age;1985-1987;T-7333;7330;90;-6392;-6032;95.4;N/A;Lag;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_3;Stone_Age;1985-1987;T-7049;7150;70;-6211;-5892;95.4;N/A;Lag;Charcoal;hardwood;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_3;Stone_Age;1985-1987;T-7527;7080;130;-6221;-5723;95.4;N/A;Lag;Charcoal;corylus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_4;Stone_Age;1985-1987;T-7514;7220;100;-6353;-5894;95.4;N/A;Lag;Charcoal;corylus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_4;Stone_Age;1985-1987;T-7762;7140;90;-6221;-5841;95.4;N/A;Lag;Charcoal;betula;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_4;Stone_Age;1985-1987;T-7153;6800;90;-5888;-5551;95.4;N/A;Lag;Charcoal;betula;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_5;Stone_Age;1985-1987;T-7050;7020;110;-6081;-5674;95.4;N/A;Lag;Charcoal;salix;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_5;Stone_Age;1985-1987;T-6231;6950;130;-6062;-5626;95.4;N/A;Lag;Charcoal;corylus_nutshell;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_5;Stone_Age;1985-1987;T-7515;6930;90;-5989;-5665;95.4;N/A;Lag;Charcoal;softwood;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_5;Stone_Age;1985-1987;T-7334;6920;90;-5986;-5661;95.4;N/A;Lag;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_6;Stone_Age;1985-1987;T-7528;6620;100;-5720;-5377;95.4;N/A;Lag;Charcoal;corylus_nutshell;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_7;Stone_Age;1985-1987;T-7516;6210;100;-5461;-4856;95.3;N/A;Lag;Charcoal;salix;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_8;Stone_Age;1985-1987;T-7152;6030;100;-5214;-4716;95.4;N/A;Lag;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_8;Stone_Age;1985-1987;T-7533;5950;100;-5201;-4555;95.4;N/A;Lag;Charcoal;pinus;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_9;Stone_Age;1985-1987;T-7534;5830;100;-4934;-4462;95.4;N/A;Lag;Charcoal;roots?;Olsen_1992
Vestland;Radoey;10189;Kotedalen_Fase_9;Stone_Age;1985-1987;T-7535;5780;80;-4826;-4457;95.4;N/A;Lag;Charcoal;quercus;Olsen_1992
Vestland;Radoey;10190;Ramsvikneset;Stone_Age;1961-1963;T-1907;5190;110;-4321;-3715;95.4;N/A;(O9_VII);unknown;unknown;aastveit_1999
Vestland;Radoey;10190;Ramsvikneset;Stone_Age;1961-1963;T-430;5100;90;-4222;-3662;95.4;N/A;Fase_D_(M9_Layer_VIII);Charcoal;unknown;"Nydal_et_al._1970;_Bakka_1993;_Naeroey_1994"
Vestland;Radoey;10190;Ramsvikneset;Stone_Age;1961-1963;T-1237;5090;180;-4331;-3526;95.4;N/A;Fase_D_(M9_Layer_VII);unknown;unknown;"Bakka_1993;_Naeroey_1994"
Vestland;Radoey;10190;Ramsvikneset;Stone_Age;1961-1963;T-1905;5080;90;-4045;-3661;95.4;N/A;Fase_A/B_(J24_Layer_VIII);unknown;unknown;"Bakka_1993;_aastveit_1999"
Vestland;Radoey;10190;Ramsvikneset;Stone_Age;1961-1963;T-431;5010;110;-4044;-3538;95.4;N/A;(K20_Layer_VIII)_(Fase_D,_red.);Charcoal;unknown;"Nydal_et_al._1970;_Naeroey_1988;_Bakka_1993;_aastveit_1999"
Vestland;Radoey;10190;Ramsvikneset;Stone_Age;1961-1963;T-1903;4960;120;-4037;-3386;95.4;N/A;Fase_A/B_(H23_Layer_VII);unknown;unknown;"Bakka_1993;_aastveit_1999"
Vestland;Radoey;10190;Ramsvikneset;Stone_Age;1961-1963;T-1904;4920;70;-3942;-3533;95.4;N/A;(L12_Layer_VI-VII);unknown;unknown;"Bakka_1993;_aastveit_1999"
Vestland;Radoey;10190;Ramsvikneset;Stone_Age;1961-1963;T-1908;4910;90;-3949;-3522;95.4;N/A;Fase_D_(O9_Layer_VI);unknown;unknown;"Naeroey_1988:;_Bakka_1993"
Vestland;Radoey;10190;Ramsvikneset;Stone_Age;1961-1963;T-1906;4770;90;-3711;-3360;95.4;N/A;Fase_C_(O9_Layer_V);unknown;unknown;"Bakka_1993;_Naeroey_1994"
Vestland;Radoey;10190;Ramsvikneset;Stone_Age;1961-1963;T-1238;4670;170;-3772;-2927;95.4;N/A;Fase_C_(M10,_Layer_VI);unknown;unknown;"Bakka_1993;_Naeroey_1994"
Vestland;Radoey;10190;Ramsvikneset;Stone_Age;1961-1963;T-1910;4590;70;-3626;-3091;95.4;N/A;Fase_A/B_(H22_Layer_VII);unknown;unknown;"Bakka_1993;_aastveit_1999"
Vestland;Radoey;10190;Ramsvikneset;Stone_Age;1961-1963;T-1909;4170;90;-2921;-2488;95.4;N/A;Fase_A/B_(P22_Layer_II);unknown;unknown;"Bakka_1993;_aastveit_1999"
Vestland;Radoey;10190;Ramsvikneset;Stone_Age;1961-1963;Beta-4002;4170;70;-2904;-2573;95.4;N/A;unknown_(Fase_A/B,_red.);unknown;unknown;"Olsen_1981;_Naeroey_1987"
Vestland;Stord;10191;Arahaugen_88;Stone_Age;1993-1995;Beta-74479;4810;60;-3706;-3379;95.4;N/A;Hearth_7;Charcoal;corylus_nutshell;Kristoffersen_and_Worren_2001
Vestland;Stord;10194;Djupedalen;Stone_Age;1993-1995;Beta-93907;7700;50;-6633;-6459;95.4;N/A;Layer;Charcoal;pinus;Kristoffersen_and_Worren_2001
Vestland;Stord;10197;Jensavikedalen_39;Stone_Age;1993-1995;Beta-87281;4960;160;-4224;-3371;95.4;N/A;Str_50;Charcoal;unknown;Kristoffersen_and_Worren_2001
Vestland;Stord;10197;Jensavikedalen_39;Stone_Age;1993-1995;Beta-87280;4300;160;-3368;-2489;95.4;N/A;Ditch_1;Charcoal;unknown;Kristoffersen_and_Worren_2001
Vestland;Stord;10197;Jensavikedalen_39;Stone_Age;1993-1995;Beta-90359;3130;160;-1761;-937;95.4;N/A;Str_50;Charcoal;unknown;Kristoffersen_and_Worren_2001
Vestland;Stord;10199;Nautoeysundet_113;Stone_Age;1993-1995;Beta-74480;4030;90;-2876;-2310;95.4;N/A;Str_1;Charcoal;pinus;Kristoffersen_and_Worren_2001
Vestland;Stord;10201;Nautoeysundet_115;Stone_Age;1993-1995;Beta-78820;4610;70;-3629;-3099;95.4;N/A;Layer;Charcoal;corylus_nutshell;Kristoffersen_and_Worren_2001
Vestland;Stord;10202;Nautoeysundet_116;Stone_Age;1993-1995;Beta-78821;4170;160;-3327;-2298;95.4;N/A;Str_4;Charcoal;quercus;Kristoffersen_and_Worren_2001
Vestland;Stryn;10469;Hjelle_I;Settlement;1995;Beta-78028;3760;70;-2456;-1978;95.4;N/A;Ardspor;Charred_cereal_grain;hordeum_vulgare;"Gundersen_1995;_Soltvedt_2000"
Vestland;Stryn;10469;Hjelle_I;Settlement;1995;Beta-74646;3690;90;-2428;-1781;95.3;N/A;Dyrkningslag_(Lag_9);Charcoal;Unknown;"Gundersen_1995;_Soltvedt_2000"
Vestland;Stryn;10469;Hjelle_I;Settlement;1995;Beta-74645;3650;60;-2201;-1884;95.4;N/A;Dyrkningslag_(Lag_9);Charcoal;Unknown;"Gundersen_1995;_Soltvedt_2000"
Vestland;Sund;10207;Nesvikja_II;Stone_Age;1958;T-163;3860;140;-2853;-1940;95.4;N/A;Outside_settlement_(40_cm_depth);Charcoal;unknown;Nydal_1960
Vestland;Sund;10207;Nesvikja_II;Stone_Age;1958;T-162;3670;130;-2460;-1745;95.4;N/A;Cultural_layer_(15cm_depth);Charcoal;unknown;Nydal_1960
Vestland;Sund;10208;Porsvika_lok._2;Stone_Age;2013;Beta-366161;5110;30;-3975;-3800;95.4;N/A;Lag_2,_profil;Charcoal;betula;Toessebro_og_aastveit_2014
Vestland;Sund;10209;Porsvika_lok._3;Stone_Age;2013;Beta-366162;6970;40;-5978;-5747;95.4;N/A;Lag_3_(bunn);Charcoal;pinus;Toessebro_og_Astveit_2014
Vestland;Sund;10210;Porsvika_lok._8;Stone_Age;2013;Beta-366163;4760;30;-3639;-3384;95.4;N/A;Lag_2b/c_bunn_av_lag,_profil;Charcoal;betula;Toessebro_og_aastveit_2014
Vestland;Sund;10210;Porsvika_lok._8;Stone_Age;2013;Beta-366167;4690;30;-3627;-3371;95.3;N/A;Lag_2b/c,_profil;Charcoal;betula;Toessebro_og_aastveit_2014
Vestland;Sund;10210;Porsvika_lok._8;Stone_Age;2013;Beta-366169;4360;30;-3085;-2904;95.4;N/A;Lag_2_bunn,_profil;Charcoal;corylus_nutshell;Toessebro_og_aastveit_2014
Vestland;Sund;10210;Porsvika_lok._8;Stone_Age;2013;Beta-366164;4340;40;-3086;-2890;95.4;N/A;Lag_2_topp,_profil;Charcoal;betula;Toessebro_og_aastveit_2014
Vestland;Sund;10210;Porsvika_lok._8;Stone_Age;2013;Beta-366168;4160;30;-2880;-2632;95.4;N/A;Lag_2_topp,_profil;Charcoal;betula;Toessebro_og_aastveit_2014
Vestland;Sund;10210;Porsvika_lok._8;Stone_Age;2013;Beta-366165;4130;30;-2872;-2583;95.5;N/A;Lag_1,_profil;Charcoal;betula;Toessebro_og_aastveit_2014
Vestland;Sund;10210;Porsvika_lok._8;Stone_Age;2013;Beta-366166;4110;30;-2865;-2575;95.4;N/A;Lag_2a_topp,_profil;Charcoal;betula;Toessebro_og_aastveit_2014
Vestland;Sund;10211;Porsvika_lok._9;Stone_Age;2013;Beta-366158;6860;30;-5810;-5669;95.4;N/A;Lag_3,_bunn_av_lag;unknown;unknown;Toessebro_og_aastveit_2014
Vestland;Sund;10211;Porsvika_lok._9;Stone_Age;2013;Beta-366159;6750;40;-5726;-5575;95.4;N/A;Lag_2_(midt);unknown;unknown;Toessebro_og_aastveit_2014
Vestland;Ullensvang;10217;Veivatn_618;Stone_Age;1972;T-1449;4290;170;-3488;-2471;95.4;N/A;Hearth_(0,15-0,18_m_depth);Charcoal;Unknown;"Gulliksen_et_al._1975;_Indrelid_1994_(Beta-4004)"
Vestland;Ullensvang;10217;Veivatn_618;Stone_Age;1972;T-1396;4080;140;-3008;-2205;95.4;N/A;Hearth_(0,1_m_depth);Charcoal;Unknown;"Gulliksen_et_al._1975;_Indrelid_1994_(Beta-4003)"
Vestland;Ullensvang;10218;Veivatn_634;Stone_Age;1972;T-1395;4200;170;-3343;-2346;95.4;N/A;Hearth_(0,1-0,12_m_depth);Charcoal;Unknown;"Gulliksen_et_al._1975;_Indrelid_1994_(Beta-4005)"
Vestland;Vaksdal;10219;Skipshelleren;Rockshelter;1930-1931;Tua-5859;6490;50;-5543;-5342;95.4;N/A;Lag_7;Bone;Cervus_elaphus;Rosvold_et_al._2013
Vestland;Vaksdal;10219;Skipshelleren;Rockshelter;1930-1931;Tua-5858;6275;50;-5362;-5072;95.4;N/A;Lag_7;Bone;Cervus_elaphus;Rosvold_et_al._2013
Vestland;Vaksdal;10219;Skipshelleren;Rockshelter;1930-1931;Layer_6-7;6230;140;-5474;-4848;95.4;N/A;Lag_6-7;Bone;unknown;Olsen_1992
Vestland;Vaksdal;10219;Skipshelleren;Rockshelter;1930-1931;Layer_6;6120;90;-5297;-4839;95.4;N/A;Lag_6;Bone;unknown;Olsen_1992
Vestland;Vaksdal;10219;Skipshelleren;Rockshelter;1930-1931;Layer_6;6000;100;-5209;-4691;95.4;N/A;Lag_6;Bone;unknown;Olsen_1992
Vestland;Vaksdal;10219;Skipshelleren;Rockshelter;1930-1931;Layer_5-6;5260;80;-4326;-3949;95.4;N/A;Lag_5-6;Bone;unknown;Olsen_1992
Vestland;Vaksdal;10219;Skipshelleren;Rockshelter;1930-1931;Layer_5;5160;90;-4233;-3719;95.4;N/A;Lag_5;Bone;unknown;Olsen_1992
Vestland;Vaksdal;10219;Skipshelleren;Rockshelter;1930-1931;Tua-5855;4655;45;-3627;-3354;95.4;N/A;Lag_5;Bone;Alces_alces;Rosvold_et_al._2013
